date,open,close,high,low
2018-11-04,6387.09,6485.85,6525.0,6359.0
2018-11-05,6485.85,6468.99,6504.39,6431.02
2018-11-06,6468.99,6519.11,6531.31,6445.18
2018-11-07,6519.11,6578.46,6615.15,6509.0
2018-11-08,6578.46,6479.84,6594.0,6468.22
2018-11-09,6479.84,6419.99,6511.53,6391.01
2018-11-10,6419.99,6433.05,6475.55,6411.0
2018-11-11,6433.05,6449.81,6462.14,6355.0
2018-11-12,6449.81,6453.07,6497.0,6421.0
2018-11-13,6453.07,6457.66,6498.0,6391.15
2018-11-14,6457.66,5922.41,6482.84,5656.87
2018-11-15,5922.41,5753.4,5939.54,5403.42
2018-11-16,5753.4,5655.94,5782.89,5549.25
2018-11-17,5655.94,5628.29,5656.6,5565.43
2018-11-18,5628.29,5662.0,5738.17,5617.0
2018-11-19,5662.0,4910.03,5664.0,4855.0
2018-11-20,4910.03,4558.86,5048.24,4326.0
2018-11-21,4558.86,4661.07,4787.2,4413.85
2018-11-22,4661.07,4370.0,4721.77,4335.0
2018-11-23,4370.0,4420.61,4484.0,4222.94
2018-11-24,4420.61,3932.44,4527.0,3824.69
2018-11-25,3932.44,4085.78,4233.0,3652.66
2018-11-26,4085.78,3862.2,4206.0,3701.0
2018-11-27,3862.2,3875.21,3940.0,3689.12
2018-11-28,3875.21,4264.85,4394.47,3874.27
2018-11-29,4264.85,4295.84,4450.38,4125.65
2018-11-30,4295.84,4041.32,4341.36,3943.0
2018-12-01,4041.32,4190.02,4299.99,3963.01
2018-12-02,4190.02,4161.01,4312.99,4103.04
2018-12-03,4161.01,3884.01,4179.0,3827.02
2018-12-04,3884.01,3951.64,4085.0,3785.94
2018-12-05,3951.64,3769.84,3970.0,3745.0
2018-12-06,3769.84,3508.75,3899.99,3500.0
2018-12-07,3508.75,3403.55,3549.99,3224.6
2018-12-08,3403.55,3410.93,3495.0,3276.47
2018-12-09,3410.93,3545.37,3658.0,3394.04
2018-12-10,3545.37,3432.88,3610.0,3370.11
2018-12-11,3432.88,3380.39,3463.5,3324.32
2018-12-12,3380.39,3445.0,3492.0,3350.0
2018-12-13,3445.0,3302.06,3460.0,3255.5
2018-12-14,3302.06,3224.17,3335.0,3177.0
2018-12-15,3224.17,3211.72,3276.5,3156.26
2018-12-16,3211.72,3228.67,3294.0,3186.0
2018-12-17,3228.67,3509.08,3585.0,3216.0
2018-12-18,3509.08,3652.98,3678.59,3424.47
2018-12-19,3652.98,3662.22,3912.73,3622.55
2018-12-20,3662.22,4049.62,4120.0,3635.0
2018-12-21,4049.62,3838.66,4139.99,3764.0
2018-12-22,3838.66,3948.91,3979.0,3785.0
2018-12-23,3948.91,3929.71,4021.53,3870.0
2018-12-24,3929.71,4008.01,4198.0,3924.83
2018-12-25,4008.01,3745.79,4020.0,3646.41
2018-12-26,3745.79,3777.74,3837.15,3656.74
2018-12-27,3777.74,3567.91,3813.98,3535.0
2018-12-28,3567.91,3839.26,3887.25,3540.04
2018-12-29,3839.26,3695.32,3892.0,3670.0
2018-12-30,3695.32,3801.91,3903.5,3657.9
2018-12-31,3801.91,3702.9,3810.0,3637.78
2019-01-01,3702.9,3797.14,3810.16,3642.0
2019-01-02,3797.14,3858.56,3882.14,3750.45
2019-01-03,3858.56,3766.78,3862.74,3730.0
2019-01-04,3766.78,3792.01,3823.64,3703.57
2019-01-05,3792.01,3770.96,3840.99,3751.0
2019-01-06,3770.96,3987.6,4027.71,3740.0
2019-01-07,3987.6,3975.45,4017.9,3921.53
2019-01-08,3975.45,3955.13,4067.66,3922.0
2019-01-09,3955.13,3966.65,4006.81,3930.04
2019-01-10,3966.65,3585.88,3996.01,3540.0
2019-01-11,3585.88,3601.31,3658.0,3526.98
2019-01-12,3601.31,3583.13,3618.19,3531.06
2019-01-13,3583.13,3476.81,3611.1,3444.28
2019-01-14,3476.81,3626.09,3671.87,3467.02
2019-01-15,3626.09,3553.06,3648.42,3518.44
2019-01-16,3553.06,3591.84,3645.0,3543.51
2019-01-17,3591.84,3616.21,3634.7,3533.44
2019-01-18,3616.21,3594.87,3619.99,3565.75
2019-01-19,3594.87,3665.3,3720.0,3594.23
2019-01-20,3665.3,3539.28,3693.73,3475.0
2019-01-21,3539.28,3526.9,3559.51,3485.04
2019-01-22,3526.9,3570.93,3608.5,3446.69
2019-01-23,3570.93,3552.82,3607.98,3514.5
2019-01-24,3552.82,3569.62,3589.0,3529.22
2019-01-25,3569.62,3565.29,3587.15,3522.51
2019-01-26,3565.29,3565.25,3662.94,3545.0
2019-01-27,3565.25,3550.84,3579.0,3486.0
2019-01-28,3550.84,3434.15,3557.75,3381.5
2019-01-29,3434.15,3411.04,3443.45,3349.92
2019-01-30,3411.04,3458.18,3478.0,3387.1
2019-01-31,3458.18,3434.1,3489.2,3418.8
2019-02-01,3434.1,3462.07,3488.0,3401.2
2019-02-02,3462.07,3504.77,3526.4,3440.29
2019-02-03,3504.77,3458.11,3511.09,3426.0
2019-02-04,3458.11,3463.22,3484.88,3433.31
2019-02-05,3463.22,3471.59,3478.97,3448.43
2019-02-06,3471.59,3405.37,3482.72,3380.0
2019-02-07,3405.37,3398.4,3426.45,3390.0
2019-02-08,3398.4,3659.04,3733.58,3373.1
2019-02-09,3659.04,3665.18,3680.02,3625.13
2019-02-10,3665.18,3680.06,3684.99,3609.76
2019-02-11,3680.06,3631.05,3684.9,3615.53
2019-02-12,3631.05,3631.46,3667.6,3582.34
2019-02-13,3631.46,3609.4,3670.0,3591.75
2019-02-14,3609.4,3590.56,3626.4,3568.11
2019-02-15,3590.56,3602.47,3653.23,3573.45
2019-02-16,3602.47,3618.41,3648.18,3597.91
2019-02-17,3618.41,3667.58,3700.11,3604.4
2019-02-18,3667.58,3898.6,3925.0,3655.0
2019-02-19,3898.6,3907.79,3994.52,3856.0
2019-02-20,3907.79,3969.74,3986.98,3870.66
2019-02-21,3969.74,3937.31,4016.48,3901.03
2019-02-22,3937.31,3962.0,3988.0,3926.65
2019-02-23,3962.0,4117.76,4162.02,3933.15
2019-02-24,4117.76,3743.56,4198.0,3712.66
2019-02-25,3743.56,3827.92,3872.66,3740.0
2019-02-26,3827.92,3809.23,3841.51,3777.0
2019-02-27,3809.23,3818.07,3838.85,3677.17
2019-02-28,3818.07,3813.69,3888.0,3763.87
2019-03-01,3813.69,3823.0,3857.0,3813.01
2019-03-02,3823.0,3819.93,3841.31,3772.25
2019-03-03,3819.93,3807.75,3835.0,3781.32
2019-03-04,3807.75,3715.3,3830.0,3670.69
2019-03-05,3715.3,3857.73,3877.1,3703.55
2019-03-06,3857.73,3861.84,3907.0,3813.09
2019-03-07,3861.84,3873.64,3905.4,3840.4
2019-03-08,3873.64,3864.89,3932.0,3800.0
2019-03-09,3864.89,3943.04,3971.75,3854.75
2019-03-10,3943.04,3916.82,3943.43,3881.69
2019-03-11,3916.82,3871.61,3936.98,3830.0
2019-03-12,3871.61,3882.73,3905.2,3826.06
2019-03-13,3882.73,3866.0,3893.56,3840.0
2019-03-14,3866.0,3877.12,3920.0,3810.43
2019-03-15,3877.12,3923.76,3939.22,3872.2
2019-03-16,3923.76,4005.98,4056.98,3921.98
2019-03-17,4005.98,3981.14,4012.0,3950.01
2019-03-18,3981.14,3987.81,4037.0,3953.33
2019-03-19,3987.81,4015.53,4031.0,3970.0
2019-03-20,4015.53,4043.04,4050.0,3980.5
2019-03-21,4043.04,3980.64,4069.32,3880.01
2019-03-22,3980.64,3986.93,4008.0,3968.25
2019-03-23,3986.93,4006.01,4018.83,3978.01
2019-03-24,4006.01,3992.18,4006.02,3950.0
2019-03-25,3992.18,3936.12,3999.3,3888.71
2019-03-26,3936.12,3948.55,3958.98,3894.0
2019-03-27,3948.55,4038.05,4048.0,3936.15
2019-03-28,4038.05,4027.81,4039.7,4002.0
2019-03-29,4027.81,4103.25,4123.71,4024.03
2019-03-30,4103.25,4106.97,4140.0,4052.0
2019-03-31,4106.97,4103.95,4116.12,4082.57
2019-04-01,4103.95,4144.56,4158.7,4067.0
2019-04-02,4144.56,4857.29,4897.99,4140.54
2019-04-03,4857.29,4932.6,5275.01,4753.5
2019-04-04,4932.6,4898.66,5039.08,4777.0
2019-04-05,4898.66,5004.95,5028.22,4880.62
2019-04-06,5004.95,5043.89,5205.0,4928.59
2019-04-07,5043.89,5170.27,5234.0,5026.0
2019-04-08,5170.27,5236.9,5305.0,5039.0
2019-04-09,5236.9,5150.0,5238.4,5076.68
2019-04-10,5150.0,5308.25,5422.0,5135.0
2019-04-11,5308.25,5017.37,5332.67,4927.0
2019-04-12,5017.37,5048.01,5080.58,4861.22
2019-04-13,5048.01,5045.22,5099.0,5004.0
2019-04-14,5045.22,5131.3,5152.99,5000.0
2019-04-15,5131.3,5024.95,5167.38,4950.0
2019-04-16,5024.95,5173.72,5197.72,5003.94
2019-04-17,5173.72,5202.82,5230.4,5146.8
2019-04-18,5202.82,5258.44,5287.0,5198.8
2019-04-19,5258.44,5258.68,5320.0,5175.0
2019-04-20,5258.68,5291.73,5333.42,5230.1
2019-04-21,5291.73,5256.14,5314.35,5165.0
2019-04-22,5256.14,5357.14,5400.0,5208.35
2019-04-23,5357.14,5493.31,5600.0,5332.41
2019-04-24,5493.31,5415.0,5582.2,5333.35
2019-04-25,5415.0,5219.9,5491.84,5102.0
2019-04-26,5219.9,5314.1,5510.0,5161.62
2019-04-27,5314.1,5295.69,5342.5,5257.67
2019-04-28,5295.69,5307.52,5340.0,5259.48
2019-04-29,5307.52,5238.14,5332.0,5178.8
2019-04-30,5238.14,5320.81,5339.98,5192.15
2019-05-01,5320.81,5383.2,5402.0,5316.2
2019-05-02,5383.2,5492.87,5538.0,5370.0
2019-05-03,5492.87,5772.69,5844.0,5477.57
2019-05-04,5772.69,5829.45,5900.0,5587.45
2019-05-05,5829.45,5775.62,5839.9,5696.0
2019-05-06,5775.62,5747.79,5805.0,5619.14
2019-05-07,5747.79,5846.34,6028.41,5747.74
2019-05-08,5846.34,5987.29,6014.72,5772.2
2019-05-09,5987.29,6209.18,6224.55,5983.71
2019-05-10,6209.18,6373.33,6468.92,6172.0
2019-05-11,6373.33,7076.22,7343.99,6372.85
2019-05-12,7076.22,6967.31,7521.78,6750.0
2019-05-13,6967.31,7790.71,8100.0,6870.0
2019-05-14,7790.71,7947.56,8366.0,7599.56
2019-05-15,7947.56,8169.87,8249.0,7850.0
2019-05-16,8169.87,7866.59,8320.0,7705.0
2019-05-17,7866.59,7355.26,7925.0,6913.0
2019-05-18,7355.26,7257.45,7458.0,7156.61
2019-05-19,7257.45,8148.48,8275.09,7243.08
2019-05-20,8148.48,7938.15,8156.03,7553.0
2019-05-21,7938.15,7904.87,8042.32,7771.0
2019-05-22,7904.87,7628.43,8016.0,7465.0
2019-05-23,7628.43,7851.51,7940.98,7461.0
2019-05-24,7851.51,7964.87,8130.0,7766.0
2019-05-25,7964.87,8025.41,8091.8,7908.34
2019-05-26,8025.41,8614.43,8740.0,7833.42
2019-05-27,8614.43,8756.32,8908.32,8589.0
2019-05-28,8756.32,8715.64,8798.49,8510.63
2019-05-29,8715.64,8645.68,8750.0,8406.6
2019-05-30,8645.68,8269.54,9074.26,8005.0
2019-05-31,8269.54,8555.0,8594.0,8108.5
2019-06-01,8555.0,8544.07,8626.0,8442.36
2019-06-02,8544.07,8725.98,8814.78,8524.0
2019-06-03,8725.98,8115.82,8800.95,8080.8
2019-06-04,8115.82,7687.03,8115.82,7481.02
2019-06-05,7687.03,7776.5,7896.7,7572.78
2019-06-06,7776.5,7786.7,7868.13,7444.58
2019-06-07,7786.7,7980.53,8100.0,7737.49
2019-06-08,7980.53,7893.62,8044.65,7751.0
2019-06-09,7893.62,7628.13,7935.0,7506.66
2019-06-10,7628.13,7982.75,8020.0,7511.0
2019-06-11,7982.75,7884.9,8010.0,7692.23
2019-06-12,7884.9,8127.64,8200.0,7788.99
2019-06-13,8127.64,8218.54,8309.82,8010.03
2019-06-14,8218.54,8650.0,8684.41,8144.32
2019-06-15,8650.0,8808.7,8864.99,8567.63
2019-06-16,8808.7,8953.33,9333.0,8760.0
2019-06-17,8953.33,9313.96,9444.0,8950.0
2019-06-18,9313.96,9081.55,9336.36,8950.0
2019-06-19,9081.55,9255.49,9304.0,8960.0
2019-06-20,9255.49,9517.12,9590.0,9175.2
2019-06-21,9517.12,10159.86,10174.99,9517.12
2019-06-22,10159.86,10729.5,11160.0,9921.72
2019-06-23,10729.5,10906.07,11392.64,10555.18
2019-06-24,10906.07,11056.59,11143.63,10620.8
2019-06-25,11056.59,11820.86,11850.0,11026.0
2019-06-26,11820.86,13093.8,13964.74,11741.0
2019-06-27,13299.99,11329.99,13347.99,10525.1
2019-06-28,11329.99,12400.63,12480.0,10982.88
2019-06-29,12400.63,11903.13,12441.54,11475.02
2019-06-30,11903.13,10854.1,12180.0,10766.03
2019-07-01,10854.1,10624.93,11282.28,10030.0
2019-07-02,10624.93,10842.85,10938.75,9727.0
2019-07-03,10842.85,11940.0,11991.89,10841.04
2019-07-04,11940.0,11145.67,12000.0,11055.0
2019-07-05,11145.67,10970.73,11406.83,10796.44
2019-07-06,10970.73,11256.49,11665.0,10964.51
2019-07-07,11256.49,11406.24,11538.0,11094.37
2019-07-08,11406.24,12238.6,12338.03,11220.0
2019-07-09,12238.6,12543.41,12794.73,12068.0
2019-07-10,12543.41,12108.37,13147.08,11569.0
2019-07-11,12108.37,11342.89,12111.73,11000.0
2019-07-12,11342.89,11757.22,11885.0,11073.0
2019-07-13,11757.22,11355.76,11799.98,10830.0
2019-07-14,11355.76,10174.18,11452.0,10103.0
2019-07-15,10174.18,10838.72,11100.0,9860.0
2019-07-16,10838.72,9439.59,11028.0,9350.01
2019-07-17,9439.59,9667.92,9957.0,9060.0
2019-07-18,9667.92,10627.16,10788.0,9252.0
2019-07-19,10627.16,10504.29,10769.71,10121.84
2019-07-20,10504.29,10740.23,11068.99,10350.0
2019-07-21,10740.23,10589.45,10817.9,10288.0
2019-07-22,10589.45,10340.31,10683.16,10100.0
2019-07-23,10340.31,9864.91,10343.97,9822.0
2019-07-24,9864.91,9763.28,9937.0,9525.0
2019-07-25,9763.28,9879.87,10175.0,9720.03
2019-07-26,9879.87,9824.0,9889.98,9637.0
2019-07-27,9824.0,9476.52,10188.66,9333.0
2019-07-28,9476.52,9541.54,9594.99,9165.0
2019-07-29,9541.54,9507.64,9729.0,9395.0
2019-07-30,9507.64,9574.21,9714.28,9402.0
2019-07-31,9574.21,10080.53,10109.8,9555.0
2019-08-01,10080.53,10374.99,10467.86,9863.46
2019-08-02,10374.99,10523.75,10670.0,10281.35
2019-08-03,10523.75,10816.86,10904.77,10497.93
2019-08-04,10816.86,10929.23,11040.0,10552.0
2019-08-05,10929.23,11828.8,11937.52,10927.8
2019-08-06,11828.8,11481.69,12330.7,11226.7
2019-08-07,11481.69,11975.03,12141.17,11382.84
2019-08-08,11975.03,11999.77,12060.0,11521.0
2019-08-09,11999.77,11879.99,12045.68,11700.0
2019-08-10,11879.99,11309.31,11985.0,11270.0
2019-08-11,11309.31,11549.97,11599.98,11112.11
2019-08-12,11549.97,11396.08,11577.89,11235.32
2019-08-13,11396.08,10892.71,11456.16,10788.45
2019-08-14,10892.71,10050.37,10897.48,9928.1
2019-08-15,10050.37,10293.93,10460.0,9911.0
2019-08-16,10293.93,10331.54,10536.03,9750.0
2019-08-17,10331.54,10216.02,10465.14,10000.0
2019-08-18,10216.02,10306.78,10500.0,10080.0
2019-08-19,10306.78,10915.54,10930.0,10258.6
2019-08-20,10915.54,10760.51,10949.96,10560.0
2019-08-21,10760.51,10142.57,10804.13,9858.0
2019-08-22,10142.57,10099.88,10242.0,9762.0
2019-08-23,10099.88,10389.55,10445.0,10019.79
2019-08-24,10389.55,10134.35,10419.42,9890.0
2019-08-25,10134.35,10142.69,10333.0,9906.97
2019-08-26,10142.69,10372.25,10604.0,10137.93
2019-08-27,10372.25,10185.05,10391.08,10051.08
2019-08-28,10185.05,9721.0,10299.0,9601.01
2019-08-29,9721.0,9498.44,9724.0,9320.0
2019-08-30,9498.44,9584.54,9696.0,9350.41
2019-08-31,9584.54,9587.47,9684.51,9420.75
2019-09-01,9587.47,9724.98,9830.0,9520.0
2019-09-02,9724.98,10340.0,10450.0,9712.5
2019-09-03,10340.0,10615.28,10773.0,10272.0
2019-09-04,10615.28,10567.02,10799.0,10369.89
2019-09-05,10567.02,10564.49,10900.0,10450.0
2019-09-06,10564.49,10298.73,10905.87,10150.0
2019-09-07,10298.73,10455.88,10558.0,10288.57
2019-09-08,10455.88,10381.18,10592.5,10208.0
2019-09-09,10381.18,10303.12,10480.0,10068.5
2019-09-10,10303.12,10098.15,10384.99,9953.0
2019-09-11,10098.15,10158.33,10293.0,9880.0
2019-09-12,10158.33,10415.01,10448.81,10040.1
2019-09-13,10415.01,10342.06,10439.0,10153.0
2019-09-14,10342.06,10335.02,10419.99,10222.33
2019-09-15,10335.02,10302.01,10360.0,10252.15
2019-09-16,10302.01,10251.31,10355.0,10078.0
2019-09-17,10251.31,10187.82,10275.0,10128.01
2019-09-18,10187.82,10156.99,10258.02,10100.0
2019-09-19,10156.99,10244.29,10325.0,9653.0
2019-09-20,10244.29,10168.59,10281.0,10061.39
2019-09-21,10168.59,9986.39,10176.7,9900.0
2019-09-22,9986.39,10028.87,10089.0,9853.97
2019-09-23,10028.87,9702.25,10049.99,9615.77
2019-09-24,9702.25,8493.14,9794.99,8290.51
2019-09-25,8493.14,8430.05,8730.0,8215.64
2019-09-26,8430.05,8063.73,8465.99,7750.0
2019-09-27,8063.73,8177.91,8265.0,7852.15
2019-09-28,8177.91,8198.81,8315.0,8001.09
2019-09-29,8198.81,8043.82,8229.13,7890.0
2019-09-30,8043.82,8289.34,8337.26,7710.0
2019-10-01,8289.34,8292.44,8500.0,8173.05
2019-10-02,8292.44,8359.94,8373.91,8151.22
2019-10-03,8359.94,8223.96,8393.0,8060.0
2019-10-04,8223.96,8137.13,8232.41,8005.0
2019-10-05,8137.13,8126.19,8183.41,8012.98
2019-10-06,8126.19,7854.25,8153.87,7785.0
2019-10-07,7854.25,8190.09,8299.92,7762.0
2019-10-08,8190.09,8168.39,8325.0,8088.75
2019-10-09,8168.39,8560.74,8670.0,8115.0
2019-10-10,8560.74,8558.03,8644.0,8414.52
2019-10-11,8558.03,8258.5,8779.51,8212.38
2019-10-12,8258.5,8300.09,8400.0,8250.0
2019-10-13,8300.09,8275.01,8451.37,8160.0
2019-10-14,8275.01,8348.2,8388.85,8203.0
2019-10-15,8348.2,8159.29,8403.0,8090.0
2019-10-16,8159.29,7991.74,8181.16,7917.0
2019-10-17,7991.74,8070.58,8124.92,7929.03
2019-10-18,8070.58,7947.01,8115.0,7816.01
2019-10-19,7947.01,7948.01,8098.1,7866.92
2019-10-20,7948.01,8223.35,8297.0,7870.0
2019-10-21,8223.35,8197.27,8333.0,8142.03
2019-10-22,8197.27,8020.0,8297.99,8000.0
2019-10-23,8020.0,7466.62,8047.59,7300.0
2019-10-24,7466.62,7412.41,7503.68,7337.99
2019-10-25,7412.41,8655.02,8706.07,7361.0
2019-10-26,8655.02,9230.0,10060.21,8470.38
2019-10-27,9230.0,9529.93,9794.98,9074.34
2019-10-28,9529.93,9205.14,9902.1,9160.0
2019-10-29,9205.14,9407.62,9550.0,9072.0
2019-10-30,9407.62,9154.72,9409.84,9001.01
2019-10-31,9154.72,9140.85,9405.0,8913.0
2019-11-01,9140.85,9231.61,9279.0,9030.0
2019-11-02,9231.61,9289.52,9373.74,9186.21
2019-11-03,9289.52,9194.71,9362.57,9066.14
2019-11-04,9194.71,9393.35,9513.68,9115.84
2019-11-05,9393.35,9308.66,9454.95,9175.76
2019-11-06,9308.66,9339.05,9440.91,9250.01
2019-11-07,9339.05,9216.2,9375.0,9101.0
2019-11-08,9216.2,8773.73,9261.0,8696.0
2019-11-09,8773.73,8809.41,8880.0,8724.88
2019-11-10,8809.41,9039.47,9147.19,8750.0
2019-11-11,9039.47,8733.27,9072.32,8618.68
2019-11-12,8733.27,8821.94,8888.0,8567.6
2019-11-13,8821.94,8777.12,8844.99,8702.0
2019-11-14,8777.12,8646.68,8800.0,8582.6
2019-11-15,8646.68,8471.73,8790.0,8400.0
2019-11-16,8471.73,8491.02,8543.0,8400.0
2019-11-17,8491.02,8502.4,8635.0,8350.68
2019-11-18,8502.4,8187.17,8503.52,8060.0
2019-11-19,8187.17,8133.64,8218.63,8003.0
2019-11-20,8133.64,8098.01,8264.29,8038.4
2019-11-21,8098.01,7627.74,8134.73,7500.0
2019-11-22,7627.74,7268.23,7750.0,6790.0
2019-11-23,7268.23,7311.57,7344.48,7080.01
2019-11-24,7311.57,6903.28,7330.39,6861.0
2019-11-25,6903.28,7109.57,7377.69,6515.0
2019-11-26,7109.57,7156.14,7340.0,7017.48
2019-11-27,7156.14,7508.52,7655.0,6840.0
2019-11-28,7508.52,7419.49,7643.0,7360.0
2019-11-29,7419.49,7739.68,7850.0,7362.3
2019-11-30,7739.68,7541.89,7810.0,7441.0
2019-12-01,7541.89,7390.89,7541.89,7210.0
2019-12-02,7390.89,7294.28,7420.56,7151.1
2019-12-03,7294.28,7292.71,7400.0,7241.35
2019-12-04,7292.71,7194.32,7750.0,7067.0
2019-12-05,7194.32,7389.0,7485.0,7150.0
2019-12-06,7389.0,7527.47,7590.03,7305.0
2019-12-07,7527.47,7488.21,7619.62,7470.16
2019-12-08,7488.21,7510.11,7564.0,7374.86
2019-12-09,7510.11,7338.64,7650.0,7273.0
2019-12-10,7338.64,7224.13,7407.6,7157.1
2019-12-11,7224.13,7210.0,7275.5,7125.66
2019-12-12,7210.0,7198.08,7295.0,7080.3
2019-12-13,7198.08,7258.48,7309.05,7190.76
2019-12-14,7258.48,7064.05,7271.77,7012.0
2019-12-15,7064.05,7118.59,7200.3,7008.35
2019-12-16,7118.59,6891.72,7150.0,6836.0
2019-12-17,6891.72,6623.82,6942.21,6560.0
2019-12-18,6623.82,7277.83,7440.0,6435.0
2019-12-19,7277.83,7150.3,7380.0,7038.31
2019-12-20,7150.3,7187.83,7220.0,7079.5
2019-12-21,7187.83,7132.75,7190.58,7105.0
2019-12-22,7132.75,7501.44,7518.54,7122.47
2019-12-23,7501.44,7317.09,7695.38,7265.84
2019-12-24,7317.09,7255.77,7436.68,7157.04
2019-12-25,7255.77,7204.63,7271.77,7128.86
2019-12-26,7204.63,7202.0,7435.0,7157.12
2019-12-27,7202.0,7254.74,7275.86,7076.42
2019-12-28,7254.74,7316.14,7365.01,7238.67
2019-12-29,7316.14,7388.24,7528.45,7288.0
2019-12-30,7388.24,7246.0,7408.24,7220.0
2019-12-31,7246.0,7195.23,7320.0,7145.01
2020-01-01,7195.23,7200.85,7255.0,7175.15
2020-01-02,7200.85,6965.71,7212.5,6924.74
2020-01-03,6965.71,7344.96,7405.0,6871.04
2020-01-04,7344.96,7354.11,7404.0,7272.21
2020-01-05,7354.11,7358.75,7495.0,7318.0
2020-01-06,7358.75,7758.0,7795.34,7346.76
2020-01-07,7758.0,8145.28,8207.68,7723.71
2020-01-08,8145.28,8055.98,8455.0,7870.0
2020-01-09,8055.98,7817.76,8055.98,7750.0
2020-01-10,7817.76,8197.02,8199.0,7672.0
2020-01-11,8197.02,8020.01,8286.34,8003.16
2020-01-12,8020.01,8184.98,8197.0,7960.0
2020-01-13,8184.98,8110.34,8196.0,8055.89
2020-01-14,8110.34,8810.01,8880.0,8105.54
2020-01-15,8810.01,8821.41,8916.48,8564.0
2020-01-16,8821.41,8720.01,8859.81,8586.0
2020-01-17,8720.01,8913.28,9041.65,8672.44
2020-01-18,8913.28,8915.96,8988.88,8806.38
